CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,LastUpdated
21173,NULL,Chad,C,Yuan,NULL,7090 C. Mount Hood,NULL,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0115,1987-11-13,Bachelors,Clerical,M,M,1,3,0,1,81916,2017-03-06
13249,NULL,Ryan,NULL,Perry,NULL,3651 Willow Lake Rd,NULL,Shawnee,British Columbia,Canada,V9B 2C3,787-555-0136,1972-07-21,Partial College,Clerical,M,M,1,2,1,2,81076,2017-03-06
29350,NULL,Julia,NULL,Thompson,NULL,1774 Tice Valley Blvd.,NULL,West Covina,California,United States,91791,120-555-0111,1985-11-09,Bachelors,Clerical,F,S,0,3,0,0,86387,2017-03-06
13503,NULL,Theodore,NULL,Gomez,NULL,2103 Baldwin Dr,NULL,Liverpool,England,United Kingdom,L4 4HB,1 (11) 500 555-0167,1977-10-18,Partial College,Skilled Manual,M,M,1,2,1,2,61481,2017-03-06
22803,NULL,Marshall,J,Shan,NULL,Am Gallberg 234,NULL,Werne,Nordrhein-Westfalen,Germany,59368,1 (11) 500 555-0113,1975-02-05,Partial College,Skilled Manual,M,S,1,1,0,0,51804,2017-03-06
22092,NULL,Andrea,NULL,Young,NULL,9384 Ashmount Way,NULL,Tacoma,Washington,United States,98403,639-555-0165,1975-02-23,High School,Skilled Manual,F,M,1,2,2,2,61944,2017-03-06
11229,NULL,Adrian,C,Stewart,NULL,6898 Shaw Rd.,NULL,Redwood City,California,United States,94063,812-555-0122,1971-12-03,Partial College,Manual,M,S,1,1,0,0,34919,2017-03-06
24179,NULL,Robyn,R,Blanco,NULL,6270 Pinecreek Way,NULL,Lavender Bay,New South Wales,Australia,2060,1 (11) 500 555-0113,1997-03-07,Partial College,Skilled Manual,F,M,0,1,0,0,61832,2017-03-06
12127,NULL,Grace,NULL,Davis,NULL,"8188, rue Lamarck",NULL,Dunkerque,Nord,France,59140,1 (11) 500 555-0178,1976-12-14,Partial College,Clerical,F,M,1,0,0,2,83834,2017-03-06
19903,NULL,Marcus,N,Nelson,NULL,"5, rue des Bouchers",NULL,Metz,Moselle,France,57000,1 (11) 500 555-0181,1976-12-04,High School,Manual,M,S,0,1,0,0,26880,2017-03-06
25924,NULL,Hannah,NULL,Robinson,NULL,536 Beech Ct.,NULL,Redwood City,California,United States,94063,609-555-0161,1998-11-20,Partial College,Clerical,F,S,0,1,0,0,77258,2017-03-06
23033,NULL,Alex,J,Turner,NULL,9973 Mcnutt Ave,NULL,Lakewood,California,United States,90712,668-555-0160,1981-04-21,Bachelors,Management,M,M,1,3,0,0,102698,2017-03-06
20029,NULL,Jan,M,Evans,NULL,7787 Olive St.,NULL,Los Angeles,California,United States,90012,163-555-0164,1984-10-24,Bachelors,Management,F,M,1,1,1,2,108198,2017-03-06
22031,NULL,Jorge,NULL,Cai,NULL,7952 Quartermaster,NULL,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0191,1960-08-12,Bachelors,Professional,M,M,1,2,0,2,133762,2017-03-06
23770,NULL,Jamie,NULL,Carlson,NULL,8191 Scenic Ct.,NULL,Maidenhead,England,United Kingdom,SL67RJ,1 (11) 500 555-0165,1991-05-12,Partial High School,Manual,M,S,0,1,0,0,30526,2017-03-07
23770,NULL,Jamie,NULL,Carlson,NULL,8191 Scenic Ct.,NULL,Maidenhead,England,United Kingdom,SL67RJ,1 (11) 500 555-0163,1991-05-12,Partial High School,Manual,M,S,0,1,0,0,30526,2017-03-06
23737,NULL,Elena,NULL,Velez Amezaga,NULL,9613 Camino Royale,NULL,Beverly Hills,California,United States,90210,545-555-0171,1971-03-14,Partial College,Skilled Manual,F,M,1,2,0,2,56353,2017-03-06
17127,NULL,Makayla,A,Gray,NULL,9442 Lacanda,NULL,Puyallup,Washington,United States,98371,133-555-0124,1965-06-02,High School,Clerical,F,S,1,3,1,1,79019,2017-03-06
28130,NULL,Joshua,M,Taylor,NULL,1145 Paraiso Ct.,NULL,Langley,British Columbia,Canada,V3A 4R2,926-555-0140,1993-02-02,Partial College,Skilled Manual,M,S,0,2,0,0,55387,2017-03-06
