CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,LastUpdated
11219,NULL,Charles,NULL,Cook,NULL,6871 Bel Air Dr.,NULL,Woodburn,Oregon,United States,97071,755-555-0111,1970-12-02,High School,Skilled Manual,M,M,1,2,2,2,56100,2017-03-06
11241,NULL,Lisa,NULL,Cai,NULL,"102, rue de Berri",NULL,Les Ulis,Essonne,France,91940,1 (11) 500 555-0125,1977-10-11,Partial College,Skilled Manual,F,S,1,0,0,0,61555,2017-03-06
11352,NULL,Raymond,A,Rodriguez,NULL,"24, impasse Ste-Madeleine",NULL,Pantin,Seine Saint Denis,France,93500,1 (11) 500 555-0131,1960-03-07,Partial College,Clerical,M,M,1,3,0,2,83613,2017-03-06
11904,NULL,Kaylee,NULL,Cook,NULL,5742 Curtis Drive,NULL,Geelong,Victoria,Australia,3220,1 (11) 500 555-0188,1989-11-09,Graduate Degree,Professional,F,S,1,2,0,0,130551,2017-03-06
11908,NULL,Rafael,A,Tang,NULL,8839 Leonard Dr,NULL,South Melbourne,Victoria,Australia,3205,1 (11) 500 555-0157,1986-07-11,Graduate Degree,Professional,M,S,1,2,0,0,135915,2017-03-06
12113,NULL,Nathan,B,Hughes,NULL,1771 Coastal Blvd.,NULL,Langford,British Columbia,Canada,V9,334-555-0173,1971-08-23,High School,Clerical,M,M,1,3,1,2,78868,2017-03-06
12221,NULL,Brandi,NULL,Ruiz,NULL,"11, rue Saint Denis",NULL,Saint Germain en Laye,Yveline,France,78100,1 (11) 500 555-0113,1981-01-09,Graduate Degree,Clerical,F,M,1,2,0,2,78234,2017-03-06
12286,NULL,Nathan,M,Jenkins,NULL,3093 Roland Drive,NULL,Peterborough,England,United Kingdom,PB12,1 (11) 500 555-0123,1989-09-06,Graduate Degree,Professional,M,S,1,2,0,0,137732,2017-03-06
12292,NULL,Nicolas,R,Kumar,NULL,5703 Rose Dr,NULL,Berks,England,United Kingdom,SL4 1RH,1 (11) 500 555-0177,1964-03-24,Bachelors,Skilled Manual,M,M,1,1,0,2,59959,2017-03-06
12305,NULL,Xavier,NULL,Bailey,NULL,6720 Bryce Dr.,NULL,Bury,England,United Kingdom,PE17,1 (11) 500 555-0129,1974-07-06,Partial College,Clerical,M,M,1,0,1,2,79735,2017-03-06
12807,NULL,Nina,L,Kumar,NULL,Altendorfer Straße 5,NULL,Offenbach,Saarland,Germany,63009,1 (11) 500 555-0115,1988-08-04,Graduate Degree,Skilled Manual,F,S,0,1,0,0,52180,2017-03-06
12820,NULL,Derek,L,Tang,NULL,"421, rue Léo Delibes",NULL,Orleans,Loiret,France,45000,1 (11) 500 555-0195,1986-02-09,High School,Manual,M,S,0,1,0,0,36185,2017-03-06
12892,NULL,Brian,NULL,Peterson,NULL,1284 Poppy Pl.,NULL,Royal Oak,British Columbia,Canada,V8X,427-555-0137,1992-04-10,Graduate Degree,Professional,M,M,1,2,0,0,135404,2017-03-06
13310,NULL,Miguel,D,Barnes,NULL,4071 Hames Dr.,NULL,Puyallup,Washington,United States,98371,951-555-0191,1980-11-18,Partial College,Skilled Manual,M,M,1,1,1,2,60779,2017-03-06
13349,NULL,Kaitlyn,A,Gonzalez,NULL,2416 Kaski Ln.,NULL,Newport Beach,California,United States,92625,698-555-0190,1963-10-06,Bachelors,Clerical,F,M,1,2,2,2,78341,2017-03-06
13482,NULL,Haley,NULL,Bryant,NULL,9990 Sunny Ave,NULL,Berkeley,California,United States,94704,344-555-0198,1972-09-19,Partial College,Skilled Manual,F,M,1,2,1,2,55450,2017-03-06
13640,NULL,Rachael,G,Patel,NULL,9815 Marlboro Court,NULL,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0167,1991-04-17,High School,Skilled Manual,F,M,0,2,1,2,60279,2017-03-06
13838,NULL,Jill,NULL,Rubio,NULL,1153 Loma Linda,NULL,Oxford,England,United Kingdom,OX14 4SE,1 (11) 500 555-0160,1996-06-27,Partial College,Skilled Manual,F,S,0,0,0,0,59415,2017-03-06
14320,NULL,Amy,NULL,Hu,NULL,9362 Akyn Rock Drive,NULL,Perth,South Australia,Australia,6006,1 (11) 500 555-0146,1981-02-04,Partial College,Clerical,F,M,1,3,0,2,85799,2017-03-06
14327,NULL,Kyle,B,Butler,NULL,4844 Spring Water St,NULL,Downey,California,United States,90241,781-555-0134,1996-02-19,High School,Clerical,M,S,0,1,0,0,87699,2017-03-06
14380,NULL,Kaylee,K,Watson,NULL,1752 Amaryllis Drive,NULL,Lebanon,Oregon,United States,97355,120-555-0165,1964-07-11,Bachelors,Clerical,F,M,1,2,1,2,85379,2017-03-06
14477,NULL,Lauren,D,Lee,NULL,3543 Hilton Way,NULL,Santa Cruz,California,United States,95062,181-555-0113,1975-08-07,High School,Skilled Manual,F,S,1,2,0,0,51348,2017-03-06
14564,NULL,Chloe,L,Bailey,NULL,9913 Mt. Whitney Way,NULL,San Diego,California,United States,92102,612-555-0181,1989-02-03,Bachelors,Manual,F,M,0,0,0,2,33859,2017-03-06
14652,NULL,Russell,S,Luo,NULL,2874 Via Del Verdes,NULL,Beverly Hills,California,United States,90210,646-555-0172,1980-12-02,Partial College,Management,M,M,1,2,2,2,108793,2017-03-06
14698,NULL,Diane,NULL,Navarro,NULL,Potsdamer Straße 92324,NULL,Frankfurt am Main,Saarland,Germany,60061,1 (11) 500 555-0168,1993-10-13,Bachelors,Management,F,M,1,3,0,0,104040,2017-03-06
14778,NULL,Renee,NULL,Jimenez,NULL,2941 Jill Ave,NULL,Lancaster,England,United Kingdom,LA1 1LN,1 (11) 500 555-0140,1987-06-21,Partial High School,Skilled Manual,F,S,0,1,0,0,58880,2017-03-06
